"Freq [GHz]","cang_deg(S(1,1)) [deg]","cang_deg(S(1,2)) [deg]","cang_deg(S(2,1)) [deg]","cang_deg(S(2,2)) [deg]"
0.5,87.8476521269382,-9.01107409844527,-9.01107409844524,55.5302846352297
0.6,83.4006570907974,-10.8113817259777,-10.8113817259778,54.992185772138
0.7,79.4347983527984,-12.6116454538366,-12.6116454538366,53.9474884395681
0.8,75.7546998168789,-14.4118898257982,-14.4118898257982,52.5172568395084
0.9,72.2507740186813,-16.2121282121219,-16.2121282121219,50.7848960031101
1,68.855209695224,-18.0123698654435,-18.0123698654435,48.8085335289532
1.1,65.5225505524214,-19.8126211510405,-19.8126211510406,46.6288185378628
1.2,62.2202151656196,-21.6128853003717,-21.6128853003717,44.2742230486766
1.3,58.9234621024031,-23.413162000117,-23.413162000117,41.7646809246094
1.4,55.6125219178402,-25.2134471334153,-25.2134471334153,39.1140853282956
1.5,52.2708640865761,-27.013732690702,-27.013732690702,36.3320132801129
1.6,48.8841014447937,-28.8140068067318,-28.8140068067318,33.4249309883655
1.7,45.4392743407841,-30.6142538775152,-30.6142538775152,30.397055038605
1.8,41.9243753340857,-32.4144547297115,-32.4144547297115,27.250986245318
1.9,38.3280379499518,-34.2145868255157,-34.2145868255158,23.9881942260442
2,34.6393444304718,-36.0146244977328,-36.0146244977328,20.6094060318938
2.1,30.8477302822883,-37.8145392110539,-37.8145392110539,17.1149338204988
2.2,26.942974226916,-39.614299851173,-39.614299851173,13.5049649813298
2.3,22.9152710864745,-41.41387304055,-41.41387304055,9.77983022969033
2.4,18.7553901569055,-43.2132234813699,-43.2132234813699,5.94025801237169
2.5,14.4549240473248,-45.012314323854,-45.0123143238539,1.98761909515533
2.6,10.0066328508895,-46.8111075591572,-46.8111075591572,-2.0758405474582
2.7,5.40488413257993,-48.6095644324756,-48.6095644324757,-6.246783600171
2.8,0.646181149761258,-50.4076458744169,-50.4076458744169,-10.5205918280688
2.9,-4.27024212579596,-52.2053129449884,-52.2053129449884,-14.8912154302015
3,-9.34179883665459,-54.0025272865541,-54.0025272865542,-19.3510758242419
3.1,-14.5619616186664,-55.799251579553,-55.799251579553,-23.8910359380234
3.2,-19.9197919950859,-57.5954499970719,-57.5954499970719,-28.5004504493729
3.3,-25.3996826777573,-59.3910886509707,-59.3910886509707,-33.1673028120792
3.4,-30.9814073289568,-61.1861360259703,-61.1861360259702,-37.8784296663028
3.5,-36.640548010623,-62.9805633948477,-62.9805633948477,-42.6198239728804
3.6,-42.3493232032973,-64.7743452104665,-64.7743452104665,-47.3769999380657
3.7,-48.0777732501258,-66.5674594697407,-66.5674594697407,-52.1353950265237
3.8,-53.7951920587519,-68.3598880451238,-68.3598880451238,-56.8807800245871
3.9,-59.4716418908713,-70.1516169795272,-70.1516169795272,-61.5996468986066
4,-65.0793701505076,-71.942636741976,-71.942636741976,-66.2795476186038
4.1,-70.5939680238342,-73.7329424409405,-73.7329424409406,-70.9093632507442
4.2,-75.995164558011,-75.5225339935496,-75.5225339935496,-75.4794912130197
4.3,-81.2672184566716,-77.3114162488243,-77.3114162488243,-79.9819474338038
4.4,-86.3989346775528,-79.0995990652041,-79.0995990652041,-84.410388377332
4.5,-91.3833786589037,-80.8870973413396,-80.8870973413396,-88.7600637677884
4.6,-96.2173830301573,-82.6739310014423,-82.6739310014423,-93.0277146718027
4.7,-100.900941763874,-84.4601249356946,-84.4601249356946,-97.2114329119961
4.8,-105.436572121314,-86.2457088982352,-86.2457088982352,-101.310497188646
4.9,-109.82870328087,-88.0307173638007,-88.0307173638007,-105.325199298715
5,-114.083128710876,-89.8151893466162,-89.8151893466162,-109.256671297852
5.1,-118.206540683305,-91.5991681836136,-91.5991681836136,-113.106721534183
5.2,-122.206151480058,-93.3827012854729,-93.3827012854729,-116.877684793845
5.3,-126.089396984934,-95.1658398590762,-95.1658398590762,-120.572289578861
5.4,-129.863713263758,-96.9486386042713,-96.9486386042713,-124.193543630093
5.5,-133.536374754406,-98.7311553890621,-98.731155389062,-127.744637602305
5.6,-137.114382416453,-100.513450906531,-100.513450906531,-131.228865789895
5.7,-140.604391176374,-102.295588317453,-102.295588317453,-134.649562369341
5.8,-144.012667373724,-104.077632881525,-104.077632881525,-138.010051299434
5.9,-147.345068512964,-105.859651581485,-105.859651581485,-141.313607984724
6,-150.607039137083,-107.641712742541,-107.641712742541,-144.563430852526
