freq[GHz], re(A), im(A), re(B), im(B), re(C), im(C), re(D), im(D)
0.5,-10402.055678401795,-501.9125697917251,10775.784320588544,-291338.7932812103,7.477120972214777,-171.14821428553643,4793.74259897262,155.8462354006124
0.6,-1264.1265013344716,-80.05259715146101,2398.889868255096,-46470.66372177643,1.7266540655931628,-31.327947422205277,1152.0439119862244,50.61969805193257
0.7,-46.201948712726875,-4.4265131516254215,166.83449011986207,-2321.403278896565,0.16243150230489345,-2.279097170531202,114.96411713337694,6.647080894977066
0.8,0.7637271486662925,0.05610161119008023,-17.887518017256728,54.407464772053174,0.005317125167690942,0.010437511243258646,0.6941171259464993,0.7503604401573394
0.9,-0.7977751880341354,-0.01851454391094725,-40.74992820681936,-52.99879689020803,-0.001479867191507233,-0.004765143019766741,-0.06480876963057858,-0.3972711128334203
1,0.44358776485090995,-0.03372304961949411,-5.075874155792534,-5.821487098967845,0.0005263209114354499,-0.018726174132104027,1.711786670578946,-0.23897658912383637
1.1,0.8259104375473905,0.00858316599404435,-5.039875776672678,40.14620214580249,0.0007145875169884755,0.0035665562465949665,1.1228796468824465,0.28966470187991056
1.2,0.26540237175782405,0.03008812987802309,-25.545124940451238,41.29555586779039,0.00015109051694860067,0.016826753593033702,0.2178657501001931,0.5021204311682348
1.3,-0.42108691818248295,0.02632113542230428,-43.22628940184555,19.295385246582367,-0.000338562878976139,0.015315819788842236,-0.2692787823856664,0.3430503584746317
1.4,-0.8092894677932831,0.010093874961036928,-50.22881245212591,-7.439522491399039,-0.000547371738768735,0.006124694251663475,-0.3177433510411196,0.04250127917468739
1.5,-0.83870622547378,-0.007974995653428026,-47.374451845935894,-28.408719203649387,-0.0005113501136225843,-0.00405009473552877,-0.0964874927490953,-0.24202625029343272
1.6,-0.6070631920932634,-0.02200180166958751,-38.5115459641324,-40.524096091863896,-0.00032371821104470143,-0.011544665591926396,0.23757848155276273,-0.4271899068671555
1.7,-0.24326627799825895,-0.02963453697660886,-27.57517694476024,-43.85899576382677,-7.240160206890226e-05,-0.015128287098154008,0.5812318199668054,-0.4991752190924039
1.8,0.1448747068087994,-0.030673329270854508,-17.044604928427567,-39.97566005641216,0.00017578171628917063,-0.014974465429959992,0.8682501433276995,-0.476243728468118
1.9,0.48367714646339566,-0.0260992557787152,-8.283711241089492,-31.212682779501442,0.0003761847075722403,-0.01190119950551899,1.0640512544760334,-0.381546808104547
2,0.7308735092437614,-0.017456908291285277,-2.1081894221211095,-19.946124807938006,0.0005034229847620877,-0.006923371256245936,1.1609556750256356,-0.2372799883758191
2.1,0.8684864232158894,-0.006469166210209045,1.0136151755073826,-8.087190549783092,0.0005477463250770261,-0.0010217934504576523,1.1689043422125165,-0.0659648044662334
2.2,0.8957635796861068,0.005204558556911466,0.9813760882490355,3.0607088798759055,0.0005115398711809556,0.0049614322954738355,1.1055345777765948,0.10949884009701573
2.3,0.8234823133043111,0.016120563999431882,-1.914016632466809,12.689403822494935,0.0004060958808454265,0.010361147862389113,0.989303042897432,0.26823931574055704
2.4,0.669683171794268,0.025143549613065988,-7.0680627600257715,20.294971777599496,0.00024862833600607266,0.014695201479355473,0.8367610813810811,0.39439880749430795
2.5,0.4565089013739417,0.0314948784437141,-13.717938108856629,25.545270907987625,5.951068102440053e-05,0.017655866145790584,0.6627274289333043,0.4786869195474631
2.6,0.20779750639911376,0.03476354284478747,-21.095634747107603,28.24488990316807,-0.00014022206668288725,0.019094500342508983,0.48122506914454966,0.517966161814081
2.7,-0.05282660833905318,0.03488417886217998,-28.522725278354443,28.358394450917668,-0.0003310071508017276,0.019002385219577235,0.3057497857697352,0.5136677066252843
2.8,-0.30350254075651373,0.03208730067723111,-35.44195729068447,26.03508418582428,-0.0004964003191101742,0.01748860083798684,0.14863647186078266,0.4701142154007769
2.9,-0.5253684343627665,0.02682951135616812,-41.41208113464425,21.602295672892055,-0.0006241354891120751,0.014755371161961671,0.02001900684245861,0.39335839706009373
3,-0.7034716433310064,0.01971385692680621,-46.094802894931576,15.524392030667036,-0.0007065656815737568,0.011071650546723153,-0.07302294590568548,0.2905903327635635
3.1,-0.8273268290728394,0.011411239253522455,-49.25020916454382,8.342681491776256,-0.0007405394509140545,0.006746247679364063,-0.1267852499215416,0.16985721289683636
3.2,-0.8911104937044947,0.002592305771294571,-50.74253384558476,0.6157711944631032,-0.000726843754807277,0.002102118618456453,-0.14069868405454566,0.039791568670551364
3.3,-0.8935121198554499,-0.006124096127673076,-50.548399696948835,-7.125590059977162,-0.0006693879161102471,-0.002546548657441026,-0.11672629974715454,-0.09083404062453906
3.4,-0.8372954827818962,-0.014203897557638661,-48.75718732235014,-14.405033196023405,-0.0005743050117217596,-0.006913174256259968,-0.05867829601403185,-0.21372154795715653
3.5,-0.7286478746696355,-0.021213865702514673,-45.55749105483802,-20.813114646094313,-0.00044911289142853146,-0.010752810734219687,0.028345935298945135,-0.32167947909161176
3.6,-0.5764047731171057,-0.026824769145163685,-41.211161251174765,-26.014063474285113,-0.0003020230436067261,-0.013871202976216543,0.13832935063559482,-0.4090862535073352
3.7,-0.3912332020085709,-0.030806534744943333,-36.02225215491484,-29.75261072260054,-0.00014142948355565926,-0.016129242426775943,0.26459197494399594,-0.472077244932651
3.8,-0.1848425349336098,-0.033019844299205243,-30.309224790873998,-31.861786938803256,2.443486895842067e-05,-0.017443524019073616,0.4000388459580384,-0.5084726012529823
3.9,0.0307281247712027,-0.03340739937180601,-24.385543996577216,-32.26877509712203,0.0001877139106804045,-0.01778388939478707,0.537468823201596,-0.5175527869258215
4,0.24371707329314204,-0.03198661538577695,-18.549191796319896,-30.995177983976426,0.0003410652720968223,-0.017168866256827127,0.6699393403543068,-0.49980769130942904
4.1,0.44313054737172913,-0.02884419971080851,-13.078190704953522,-28.14983541561575,0.0004777636559712018,-0.015659835107636508,0.7911292867169427,-0.4567467130935795
4.2,0.619119606432231,-0.02413214452699746,-8.228016073476873,-23.914972672794253,0.000591804174271458,-0.013354615364962658,0.8956290532269204,-0.39079691395062305
4.3,0.7632563634779883,-0.01806417504552446,-4.227483824662342,-18.528601218123587,0.0006780249595786953,-0.010380995756403683,0.9791080686377932,-0.30526384405865953
4.4,0.8687291718841494,-0.010911571578990756,-1.2715140347546785,-12.267033613316983,0.0007322549774618319,-0.006890556658919754,1.0383504324571047,-0.20430012570684772
4.5,0.930480005550537,-0.0029974076381555008,0.4887400421565074,-5.430947886251303,0.0007514823649889812,-0.0030529492515307638,1.0711924593201405,-0.09282418044290315
4.6,0.945308009986575,0.005311510888084588,0.9562575587633867,1.6631928253526485,0.000734030957785195,0.000949393975910381,1.0764277159680333,0.023647682361297266
4.7,0.9119604464882184,0.013615448710060034,0.09620351516671448,8.686922267766718,0.0006797270669249116,0.004926338900181178,1.053753681884214,0.13925743674964478
4.8,0.831224810599608,0.021495457401961016,-2.0605901090400036,15.30164428947145,0.0005900339158628094,0.008685324607290589,1.0038135304797455,0.2481160289359079
4.9,0.7060226614199866,0.028529866624155752,-5.419454412703389,21.162906378666356,0.0004681271675836922,0.012037362560177978,0.9283405335160261,0.34461414205795426
5,0.541486927600078,0.03431299545810548,-9.827933673765981,25.931212606672563,0.00031888320116577225,0.014804278378200274,0.8303555798158594,0.42368159135919536
5.1,0.34498350125103067,0.038474977850241086,-15.083626017272307,29.291574376959204,0.00014875575253627243,0.016827486200988694,0.7143209407395446,0.4809693853638981
5.2,0.1260221122829598,0.0407010168819428,-20.941118580065,30.980697480435893,-3.446987064216565e-05,0.017978104293524186,0.5861360101632433,0.512966222797173
5.3,-0.10399944442561564,0.04074805196339463,-27.116317134479015,30.816989743336983,-0.00022203170671027637,0.018167564907730867,0.45288725117262074,0.5170970551314572
5.4,-0.3322523922603773,0.03845708278602114,-33.28858032765126,28.725813839742095,-0.00040461304323919766,0.017357265070818858,0.3223375796941841,0.4918712259332383
5.5,-0.5451282658737392,0.03376040073223156,-39.103843145333876,24.75218752376143,-0.0005727678114668278,0.015565550668281684,0.20224532681130825,0.437137758906098
5.6,-0.7290288308754385,0.026684462901547305,-44.18439962414603,19.05670960350803,-0.0007172852017927854,0.012870639080255314,0.09970259200213849,0.35445292267223777
5.7,-0.8712048736189989,0.01735039377432013,-48.15147074133301,11.897797055918769,-0.0008294541240840073,0.009408923472662313,0.02071951397523164,0.2474688749894912
5.8,-0.9605508782819401,0.005974180867329881,-50.6629555840361,3.611788407674993,-0.0009012316423731917,0.005369138848764647,-0.02980273932878652,0.12214362728305234
5.9,-0.9882921562791911,-0.007133653014846783,-51.46016030350891,-5.393205434613559,-0.000925370495526337,0.0009836703567849072,-0.047782440226194156,-0.013469656533740118
6,-0.9485494899447859,-0.021577614023281302,-50.407393312349434,-14.619322026177956,-0.0008956377607221497,-0.003481423768377669,-0.029682989589440822,-0.1499824579172228
