"Freq [GHz]","dB(S(1,1)) []","dB(S(1,2)) []","dB(S(2,1)) []","dB(S(2,2)) []"
0.5,-57.0389240833893,-0.00438801082275369,-0.0043880108227286,-55.3433265869082
0.6,-55.5809734352219,-0.0052307031607166,-0.00523070316069151,-54.1205302743074
0.7,-54.3598589256809,-0.0061348879333377,-0.00613488793331068,-53.0589243537728
0.8,-53.3164722006987,-0.00711059379333607,-0.00711059379331484,-52.1250239313202
0.9,-52.4119065782655,-0.00816422805384702,-0.00816422805383447,-51.2954574763024
1,-51.6192014521149,-0.00930048195663471,-0.00930048195664243,-50.5529277403624
1.1,-50.9189257627771,-0.0105232791582187,-0.0105232791582206,-49.8841630451361
1.2,-50.2966220275583,-0.0118361949727202,-0.0118361949727086,-49.2787210947509
1.3,-49.7412369362176,-0.0132426130266891,-0.013242613026692,-48.7282162879385
1.4,-49.2441116627005,-0.0147457599783866,-0.0147457599783875,-48.2257878835255
1.5,-48.798306597555,-0.0163486869684479,-0.0163486869684528,-47.7657195569385
1.6,-48.3981341430094,-0.0180542294898455,-0.018054229489862,-47.3431601397483
1.7,-48.0388248699354,-0.0198649595240368,-0.0198649595240223,-46.9539145862719
1.8,-47.7162814348284,-0.0217831356694795,-0.0217831356694804,-46.5942851077996
1.9,-47.426891217105,-0.0238106535578657,-0.0238106535577777,-46.2609487300969
2,-47.1673789995711,-0.025948997549513,-0.0259489975495198,-45.9508622059624
2.1,-46.9346872841946,-0.0281991943191936,-0.0281991943192497,-45.6611878255502
2.2,-46.7258763644275,-0.0305617688855876,-0.0305617688856224,-45.3892360554528
2.3,-46.5380390984509,-0.0330367036936093,-0.0330367036935938,-45.1324222378248
2.4,-46.3682278878369,-0.0356234014006343,-0.0356234014006198,-44.8882357707461
2.5,-46.2133931961111,-0.0383206520375602,-0.0383206520375554,-44.6542208620149
2.6,-46.0703349627026,-0.0411266051930038,-0.0411266051929776,-44.4279684506934
2.7,-45.935669765813,-0.0440387478233762,-0.0440387478233695,-44.2071190506639
2.8,-45.8058182164847,-0.0470538882164401,-0.0470538882164343,-43.9893762043969
2.9,-45.6770179973528,-0.0501681465453838,-0.0501681465453944,-43.7725299033365
3,-45.5453681595437,-0.0533769523497222,-0.0533769523496999,-43.5544887275437
3.1,-45.4069090103657,-0.0566750491671489,-0.0566750491671508,-43.3333187493709
3.2,-45.2577390229061,-0.060056506425808,-0.060056506425808,-43.1072864111092
3.3,-45.0941650747223,-0.0635147385894706,-0.0635147385894813,-42.8749018568317
3.4,-44.9128759490052,-0.067042531431043,-0.067042531431041,-42.6349587557899
3.5,-44.7111220899154,-0.0706320751984051,-0.0706320751984236,-42.3865665668568
3.6,-44.486879466272,-0.0742750043275548,-0.0742750043275714,-42.1291716975427
3.7,-44.2389738830719,-0.0779624432609103,-0.0779624432609112,-41.8625649568735
3.8,-43.9671457858776,-0.0816850578371713,-0.0816850578371216,-41.5868740968738
3.9,-43.672044231546,-0.0854331116427669,-0.0854331116427708,-41.3025417937286
4,-43.3551504460614,-0.0891965266495834,-0.0891965266495893,-41.0102909140781
4.1,-43.0186429341935,-0.0929649474121128,-0.0929649474121382,-40.7110800791523
4.2,-42.6652244453821,-0.0967278080622651,-0.0967278080622651,-40.406053226129
4.3,-42.2979343202231,-0.100474401316838,-0.100474401316838,-40.0964870252931
4.4,-41.9199679012271,-0.104193948707415,-0.104193948707416,-39.7837396731026
4.5,-41.5345192393862,-0.10787567124754,-0.107875671247531,-39.469203902608
4.6,-41.1446564131377,-0.111508859774045,-0.111508859774056,-39.1542661972451
4.7,-40.7532322916692,-0.115082944229063,-0.115082944229048,-38.8402733008936
4.8,-40.362828642837,-0.118587561192841,-0.118587561192838,-38.5285063391263
4.9,-39.9757285226953,-0.122012619027173,-0.12201261902717,-38.2201622426268
5,-39.5939106267105,-0.125348360046678,-0.125348360046644,-37.9163417482335
5.1,-39.2190593213279,-0.128585419197714,-0.128585419197718,-37.6180430007886
5.2,-38.8525848316438,-0.13171487879073,-0.1317148787907,-37.3261597032534
5.3,-38.4956491564233,-0.13472831889849,-0.13472831889844,-37.0414827721562
5.4,-38.149194418611,-0.137617863101014,-0.137617863101012,-36.7647045542153
5.5,-37.813971352913,-0.140376219324265,-0.140376219324294,-36.4964247907319
5.6,-37.4905664672001,-0.142996715583403,-0.142996715583358,-36.2371576616178
5.7,-37.1794270198509,-0.145473330503758,-0.145473330503747,-35.9873393816068
5.8,-36.8808834052006,-0.147800718549072,-0.14780071854908,-35.7473359513809
5.9,-36.5951688328855,-0.149974229940431,-0.149974229940445,-35.5174507755962
6,-36.3224363780966,-0.151989925297412,-0.151989925297391,-35.2979319493302
