"Freq [GHz]","dB(S(1,1)) []","dB(S(1,2)) []","dB(S(2,1)) []","dB(S(2,2)) []"
0.5,-0.0388094899611293,-77.8206057127414,-77.8206057127414,-0.082625158262801
0.6,-0.0694774674024558,-62.0258019575754,-62.0258019575756,-0.0922577980033694
0.7,-0.148084961181103,-38.9556961897723,-38.9556961897722,-0.114387401927678
0.8,-14.7581958098884,-2.84725551028084,-2.84725551028079,-5.70921863393308
0.9,-7.61700259945087,-1.76516538350588,-1.76516538350595,-6.19850558032674
1,-6.04198166192058,-1.82122491464494,-1.82122491464493,-5.59339385478423
1.1,-8.53746787768853,-1.12732984487608,-1.12732984487615,-7.87425716467572
1.2,-10.1565127221566,-0.826072973320125,-0.826072973320135,-9.61344956015299
1.3,-10.4010705607451,-0.777558236151738,-0.777558236151768,-9.91296797058052
1.4,-11.162113819101,-0.705274258368833,-0.705274258368709,-10.5509127089661
1.5,-11.3297158660415,-0.684834064042721,-0.68483406404276,-10.773035810908
1.6,-10.9176846424955,-0.709918378446557,-0.709918378446606,-10.541576972923
1.7,-10.7217169550039,-0.721716369461827,-0.721716369461918,-10.458660807355
1.8,-11.0906989229517,-0.68876358237132,-0.688763582371438,-10.8432545174036
1.9,-12.1178785577842,-0.615859274184177,-0.615859274184186,-11.7980441944661
2,-13.9060954268185,-0.525658284296845,-0.525658284296839,-13.4100368705032
2.1,-16.7107185540473,-0.442273155497476,-0.442273155497491,-15.8567428935739
2.2,-21.2503103899791,-0.382166751134974,-0.382166751135051,-19.5579136883504
2.3,-30.8413166819695,-0.351206207964004,-0.351206207963951,-25.7096240672758
2.4,-32.648210869058,-0.346059821606017,-0.346059821605391,-33.7941402782139
2.5,-23.5448780697124,-0.357914259259826,-0.357914259259872,-26.0732585718394
2.6,-20.0655758614553,-0.376551735031876,-0.376551735031807,-21.813211004529
2.7,-18.3304029852274,-0.393448539193708,-0.393448539193718,-19.6620655903945
2.8,-17.5314221558716,-0.403402718813881,-0.403402718813891,-18.5796389007781
2.9,-17.3577570485042,-0.404817523229667,-0.404817523229669,-18.1631259018752
3,-17.6455909700204,-0.399033602219243,-0.399033602219236,-18.1999932667731
3.1,-18.2672543520862,-0.389143426649617,-0.389143426649629,-18.5302741982159
3.2,-19.0654318605094,-0.378680604448295,-0.378680604448284,-18.986308063612
3.3,-19.8097152710269,-0.370511085812267,-0.370511085812283,-19.3784979359349
3.4,-20.2350893131434,-0.36615454079956,-0.366154540799591,-19.5460996602932
3.5,-20.2125497212239,-0.36562401528192,-0.365624015281888,-19.4474362124106
3.6,-19.8638461056643,-0.367719100379649,-0.367719100379596,-19.1798807628155
3.7,-19.4321210028984,-0.37059546846046,-0.370595468460464,-18.8978674507608
3.8,-19.1138891823796,-0.372398582738403,-0.372398582738395,-18.732326928102
3.9,-19.0215019766565,-0.371786974915585,-0.37178697491561,-18.7693684844769
4,-19.2135282330603,-0.368245011517661,-0.368245011517633,-19.0626534416841
4.1,-19.7251894884119,-0.362158683554181,-0.362158683554197,-19.6490830504371
4.2,-20.5823087543951,-0.354680337522193,-0.354680337522221,-20.5552505164935
4.3,-21.7934033839931,-0.347437649538288,-0.34743764953826,-21.784578639574
4.4,-23.2942149596213,-0.342155715211026,-0.342155715211016,-23.2564642647873
4.5,-24.7805200721007,-0.340265717291478,-0.340265717291459,-24.6445201669122
4.6,-25.5202759653877,-0.342571755794105,-0.342571755794085,-25.2541976535652
4.7,-24.9535421924816,-0.349038291506734,-0.349038291506772,-24.6504393087071
4.8,-23.6028874212665,-0.358743398003365,-0.358743398003411,-23.3563355584452
4.9,-22.2401927894801,-0.37001912779505,-0.370019127795064,-22.0619701995186
5,-21.2197665970519,-0.380773374055099,-0.380773374055059,-21.0889468972873
5.1,-20.6549757291173,-0.38896078618178,-0.388960786181783,-20.5461408147311
5.2,-20.6067283650807,-0.393143787770086,-0.393143787770097,-20.4931721259844
5.3,-21.1708399311284,-0.393056236134651,-0.393056236134653,-21.0192673193427
5.4,-22.5535624127975,-0.390050937331449,-0.390050937331434,-22.3107480627819
5.5,-25.2487773371079,-0.387284495933765,-0.387284495933784,-24.8028205143634
5.6,-30.6820052170019,-0.389486542623383,-0.389486542623337,-29.7469247004556
5.7,-35.0087557583465,-0.402203267159793,-0.402203267159802,-36.9597563321655
5.8,-26.0983194581379,-0.43052633281213,-0.430526332812125,-27.5242066600532
5.9,-21.034974677402,-0.47753090313129,-0.477530903131285,-21.9505831669464
6,-17.8789004875712,-0.542957013299319,-0.542957013299389,-18.5804343642019
