"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []","re(S(1,2)) []","im(S(1,2)) []","re(S(2,1)) []","im(S(2,1)) []","re(S(2,2)) []","im(S(2,2)) []"
0.5,0.192106750765092,-0.976830891356123,-4.14497154263309E-005,0.000121652107398253,-4.1449715426331E-005,0.000121652107398253,-0.517751790002278,0.844445246294687
0.6,-0.209035971434276,-0.969759490472939,6.97089375467451E-006,0.000791941456828033,6.97089375467619E-006,0.000791941456828018,-0.295681711028478,0.944220964075676
0.7,-0.704596788566209,-0.685580281549148,0.00510135314580625,0.0100578119637992,0.0051013531458063,0.0100578119637993,0.00360385728916905,0.98691041997008
0.8,0.172784587546754,0.059823713206883,0.35455148660828,-0.627233000948066,0.354551486608282,-0.62723300094807,0.272433315521212,0.440866024092873
0.9,0.257431012124761,0.326849107494996,-0.583287168216936,0.570780376108676,-0.583287168216932,0.570780376108672,0.344948347935594,0.347816744688194
1,-0.497628889686196,-0.0337295225001577,0.683828138666538,0.435719462321823,0.683828138666539,0.435719462321824,0.256004836709024,0.45858877468622
1.1,0.148393783193344,0.343539871162767,0.726530443450269,-0.493488704012593,0.726530443450264,-0.49348870401259,0.281753987819676,0.289412998871536
1.2,0.18951938989822,-0.246054317976861,-0.00830086202353092,-0.909239414259954,-0.00830086202353084,-0.909239414259953,0.209931084917595,0.255416755105465
1.3,-0.235385169155063,-0.18913600201746,-0.657077944172326,-0.635862825193762,-0.657077944172324,-0.635862825193759,0.20851530987174,0.24196191167566
1.4,-0.223757714203321,0.162649597615442,-0.917678857273086,-0.0892777799922464,-0.9176788572731,-0.0892777799922388,0.203975478361433,0.215593083001312
1.5,0.062242331356872,0.264104938755189,-0.814933044677665,0.435889451207202,-0.814933044677662,0.435889451207199,0.203928881775914,0.205200913173901
1.6,0.263583696050256,0.107127830121497,-0.490793733494418,0.779947399441358,-0.490793733494416,0.779947399441353,0.226741402728199,0.192000694037189
1.7,0.272431705701926,-0.102324088939811,-0.0919547895184202,0.915662036647818,-0.0919547895184222,0.915662036647809,0.257542487658248,0.153783505075556
1.8,0.158538285567477,-0.229470579701422,0.2905726165538,0.876875462662537,0.290572616553791,0.876875462662527,0.271915754811091,0.0917273003675385
1.9,0.020747917165887,-0.246932607865892,0.60782683408164,0.705928752455326,0.607826834081639,0.705928752455326,0.256081132301306,0.0228376642130231
2,-0.0751070821851334,-0.187189255291126,0.83055344944665,0.442924242966281,0.830553449446651,0.442924242966281,0.21100596445036,-0.0328601186750372
2.1,-0.105689534241033,-0.100780169599981,0.941584374754867,0.128823446859448,0.941584374754866,0.128823446859445,0.149044357159257,-0.0612130398892381
2.2,-0.0809972485398621,-0.030624367626978,0.937056214884825,-0.194136910631586,0.937056214884818,-0.194136910631582,0.0874818359880947,-0.0584677997723411
2.3,-0.0286980452592914,0.000557217436873869,0.827690213129979,-0.487077138819333,0.827690213129982,-0.48707713881934,0.0414197983101482,-0.0311444571580498
2.4,0.0217227683158662,-0.00846141318718069,0.636004479279499,-0.720352081337039,0.636004479279526,-0.720352081337107,0.0187739094098742,0.00806055518634713
2.5,0.0498325586383073,-0.0440185345726101,0.39039045613798,-0.87663391696734,0.390390456137976,-0.876633916967336,0.0191256281697785,0.0458702585423211
2.6,0.0480954973548373,-0.0868156862357646,0.119248559459505,-0.950120009330456,0.119248559459506,-0.950120009330464,0.0359236308441377,0.0727760937754072
2.7,0.0202342854808723,-0.119492566725451,-0.152573046725576,-0.943455954642589,-0.152573046725575,-0.943455954642588,0.0601075842817803,0.0848308642780095
2.8,-0.022939931756323,-0.130875343573783,-0.404854990511342,-0.86451662266019,-0.404854990511341,-0.864516622660189,0.0833776630305062,0.0831677622553686
2.9,-0.0679694684757268,-0.117281806772365,-0.621665224057571,-0.724245868458468,-0.621665224057571,-0.724245868458468,0.100239555271476,0.0722267346881499
3,-0.102429896278543,-0.0818819245512096,-0.79076117046919,-0.535640341147032,-0.790761170469191,-0.535640341147032,0.108705033813983,0.0576094746884054
3.1,-0.117560515977502,-0.0329021991509932,-0.903387509532425,-0.313344156552962,-0.903387509532423,-0.313344156552962,0.109883062212439,0.0441923525658894
3.2,-0.109756535676655,0.0188283274850347,-0.954534521613505,-0.07323065698038,-0.954534521613506,-0.0732306569803796,0.10682758576913,0.0348837156610156
3.3,-0.0808390270462399,0.0625534879340113,-0.943326866474878,0.168401172037157,-0.943326866474876,0.168401172037157,0.103080037657709,0.0302163610164952
3.4,-0.037130291628824,0.0899689861658708,-0.873111937493503,0.396007119275868,-0.8731119374935,0.396007119275866,0.101367535030943,0.0287460748108601
3.5,0.0123749667482537,0.0967947811673208,-0.750991538609113,0.596045376434395,-0.750991538609116,0.596045376434397,0.102825029771859,0.0279968523402473
3.6,0.0582053422839022,0.0832502859804254,-0.586847066527697,0.757908667831581,-0.586847066527701,0.757908667831585,0.106890509411452,0.0255516919834016
3.7,0.0923899542527183,0.0534885674539976,-0.39214667800734,0.874315545966102,-0.39214667800734,0.874315545966101,0.111769142234573,0.0199118483378141
3.8,0.109809699989148,0.0143260283757721,-0.178868798586647,0.941186219484264,-0.178868798586644,0.941186219484266,0.115197925907754,0.0109100294573589
3.9,0.10878894978469,-0.0263067102398099,0.0412491088917398,0.957211221424924,0.0412491088917397,0.957211221424921,0.115220478637358,-0.000340893967693427
4,0.0910103247031418,-0.0608471279986738,0.257111120470954,0.923362140416415,0.257111120470955,0.923362140416418,0.110763762075928,-0.0118460198878818
4.1,0.0609272874643825,-0.0833132009621442,0.45842483222376,0.84251934360063,0.45842483222376,0.842519343600628,0.101919520980297,-0.0213065524857141
4.2,0.0248455715553256,-0.0901547838900914,0.635786582970622,0.719272646418817,0.63578658297062,0.719272646418815,0.0899209350581491,-0.0267220683003825
4.3,-0.0101893978642726,-0.0807041122100791,0.780824977091436,0.559846642232703,0.780824977091439,0.559846642232704,0.0768579776892137,-0.0268940143542918
4.4,-0.0375768309111978,-0.0571976208538489,0.88646659158071,0.372043378890553,0.886466591580711,0.372043378890553,0.0652057562408755,-0.021741309807052
4.5,-0.0522788190486889,-0.0243541017579272,0.947305204675873,0.165089213570778,0.947305204675875,0.165089213570778,0.05726200089626,-0.0123720983566078
4.6,-0.0517091900313638,0.0114636400494526,0.95999044572732,-0.0506863184024304,0.959990445727323,-0.0506863184024304,0.0546049216265976,-0.000895007885465482
4.7,-0.0362274491617389,0.0434034447704654,0.923525294037528,-0.264342158402464,0.923525294037524,-0.264342158402463,0.0576831135445909,0.00999947846281812
4.8,-0.00911652238945204,0.0654151826144964,0.839383681307128,-0.46492039292861,0.839383681307124,-0.464920392928607,0.0656273135072334,0.0176103822799989
4.9,0.0239883295644203,0.0734482667188152,0.711420159368822,-0.642035753435404,0.711420159368821,-0.642035753435403,0.0763314390378302,0.0198416684967755
5,0.0561450635507175,0.066325409427862,0.545616578408429,-0.786358631397607,0.545616578408431,-0.786358631397611,0.0868004328902231,0.0157460222867418
5.1,0.0804585036654704,0.046114075062525,0.349763860167164,-0.889942271123676,0.349763860167164,-0.889942271123676,0.0937206960770116,0.00589511891516081
5.2,0.0915194893598852,0.0178979298971977,0.133186866162249,-0.946421168270556,0.133186866162248,-0.946421168270555,0.0941818291147181,-0.00750436543515261
5.3,0.086686126013847,-0.0110632846423003,-0.0934206511089799,-0.951179670693151,-0.0934206511089802,-0.951179670693151,0.0864575478968773,-0.0208137629015469
5.4,0.0669635738603884,-0.0327164220203917,-0.318069774327644,-0.901628603574078,-0.318069774327644,-0.90162860357408,0.0707214583729951,-0.0295356902819804
5.5,0.0372466277894898,-0.0399863967611899,-0.527589473229605,-0.797705668538981,-0.527589473229545,-0.797705668539019,0.0495194888311767,-0.0292742483478534
5.6,0.00571492235273641,-0.0286707458323995,-0.708008870704841,-0.642607781293431,-0.708008870704843,-0.642607781293436,0.0277626217961353,-0.017007083644398
5.7,-0.017739072605044,0.000957166865246162,-0.845455318556975,-0.443569136395004,-0.845455318556974,-0.443569136395004,0.0120003838694053,0.00757459639919322
5.8,-0.0239456486739611,0.0433850767077468,-0.927663123506586,-0.212282756574281,-0.927663123506586,-0.21228275657428,0.00887340860255557,0.0411054478937756
5.9,-0.00728434256521915,0.0884675568303219,-0.945839677102129,0.0355141906118046,-0.945839677102129,0.0355141906118179,0.0229648264024744,0.0765140157941948
6,0.031934173660571,0.123601352436288,-0.896228841766134,0.281518558965113,-0.896228841766127,0.281518558965112,0.0546690006954646,0.104295118498339
